ticker,name,sector,industry
CAH,"Cardinal Health Inc.","Health Care","Health Care Distributors"
CARR,"Carrier Global Corp",Industrials,"Building Products"
CAT,"Caterpillar Inc.",Industrials,"Construction Machinery & Heavy Trucks"
CB,"Chubb Limited",Financials,"Property & Casualty Insurance"
CBOE,"Cboe Global Markets",Financials,"Financial Exchanges & Data"
CBRE,"CBRE Group Inc.","Real Estate","Real Estate Services"
CCI,"Crown Castle International","Real Estate","Specialized REITs"
CCL,"Carnival Corp.","Consumer Discretionary","Hotels Resorts & Cruise Lines"
CDNS,"Cadence Design Systems","Information Technology","Application Software"
CDW,"CDW Corp.","Information Technology","Technology Distributors"
CE,"Celanese Corp.",Materials,"Specialty Chemicals"
CERN,"Cerner Corp.","Health Care","Health Care Technology"
CF,"CF Industries Holdings",Materials,"Fertilizers & Agricultural Chemicals"
CFG,"Citizens Financial Group",Financials,"Regional Banks"
CHD,"Church & Dwight Co.","Consumer Staples","Household Products"
CHRW,"C.H. Robinson Worldwide",Industrials,"Air Freight & Logistics"
CHTR,"Charter Communications","Communication Services","Cable & Satellite"
CI,"Cigna Corp.","Health Care","Managed Health Care"
CINF,"Cincinnati Financial",Financials,"Property & Casualty Insurance"
CL,"Colgate-Palmolive Co.","Consumer Staples","Household Products"
CLX,"Clorox Company","Consumer Staples","Household Products"
CMA,"Comerica Inc.",Financials,"Diversified Banks"
CMCSA,"Comcast Corp.","Communication Services","Cable & Satellite"
CME,"CME Group Inc.",Financials,"Financial Exchanges & Data"
CMG,"Chipotle Mexican Grill","Consumer Discretionary",Restaurants
CMI,"Cummins Inc.",Industrials,"Industrial Machinery"
CMS,"CMS Energy Corp",Utilities,Multi-Utilities
CNC,"Centene Corp.","Health Care","Managed Health Care"
CNP,"CenterPoint Energy",Utilities,Multi-Utilities
COF,"Capital One Financial",Financials,"Consumer Finance"
COG,"Cabot Oil & Gas",Energy,"Oil & Gas Exploration & Production"
COO,"Cooper Companies","Health Care","Health Care Supplies"
COP,ConocoPhillips,Energy,"Oil & Gas Exploration & Production"
COST,"Costco Wholesale Corp.","Consumer Staples","Hypermarkets & Super Centers"
CPB,"Campbell Soup Co.","Consumer Staples","Packaged Foods & Meats"
CPRT,"Copart Inc.",Industrials,"Diversified Support Services"
CRL,"Charles River Laboratories","Health Care","Life Sciences Tools & Services"
CRM,"Salesforce Inc.","Information Technology","Application Software"
CSCO,"Cisco Systems Inc.","Information Technology","Communications Equipment"
CSX,"CSX Corp.",Industrials,Railroads
CTAS,"Cintas Corporation",Industrials,"Diversified Support Services"
CTSH,"Cognizant Technology","Information Technology","IT Consulting & Services"
CTVA,"Corteva Inc.",Materials,"Fertilizers & Agricultural Chemicals"
CTXS,"Citrix Systems","Information Technology","Application Software"
CVS,"CVS Health Corp.","Health Care","Health Care Services"
CVX,"Chevron Corp.",Energy,"Integrated Oil & Gas"
D,"Dominion Energy Inc.",Utilities,"Electric Utilities"
DAL,"Delta Air Lines Inc.",Industrials,Airlines
DD,"DuPont de Nemours",Materials,"Specialty Chemicals"
DE,"Deere & Company",Industrials,"Agricultural & Farm Machinery"
DFS,"Discover Financial",Financials,"Consumer Finance"
DG,"Dollar General Corp.","Consumer Discretionary","General Merchandise Stores"
DGX,"Quest Diagnostics Inc.","Health Care","Health Care Services"
DHI,"D.R. Horton Inc.","Consumer Discretionary",Homebuilding
DHR,"Danaher Corp.","Health Care","Health Care Equipment"
DISCA,"Discovery Inc.","Communication Services","Movies & Entertainment"
DLR,"Digital Realty Trust","Real Estate","Specialized REITs"
DLTR,"Dollar Tree Inc.","Consumer Discretionary","General Merchandise Stores"
DOV,"Dover Corp.",Industrials,"Industrial Machinery"
DOW,"Dow Inc.",Materials,"Commodity Chemicals"
DPZ,"Domino's Pizza Inc.","Consumer Discretionary",Restaurants
DRE,"Duke Realty Corp.","Real Estate","Industrial REITs"
DRI,"Darden Restaurants","Consumer Discretionary",Restaurants
DTE,"DTE Energy Company",Utilities,Multi-Utilities
DUK,"Duke Energy Corp.",Utilities,"Electric Utilities"
DVA,"DaVita Inc.","Health Care","Health Care Facilities"
DVN,"Devon Energy Corp.",Energy,"Oil & Gas Exploration & Production"
DXC,"DXC Technology","Information Technology","IT Consulting & Services"
DXCM,"DexCom Inc.","Health Care","Health Care Equipment"
EA,"Electronic Arts Inc.","Communication Services","Interactive Home Entertainment"
EBAY,"eBay Inc.","Consumer Discretionary","Internet & Direct Marketing Retail"
ECL,"Ecolab Inc.",Materials,"Specialty Chemicals"
ED,"Consolidated Edison",Utilities,"Electric Utilities"
EFX,"Equifax Inc.",Industrials,"Research & Consulting Services"
EIX,"Edison International",Utilities,"Electric Utilities"
EL,"Estee Lauder Companies","Consumer Staples","Personal Products"
EMN,"Eastman Chemical Co.",Materials,"Specialty Chemicals"
EMR,"Emerson Electric Co.",Industrials,"Electrical Components & Equipment"
ENPH,"Enphase Energy Inc.","Information Technology",Semiconductors
EOG,"EOG Resources Inc.",Energy,"Oil & Gas Exploration & Production"
EQIX,"Equinix Inc.","Real Estate","Specialized REITs"
EQR,"Equity Residential","Real Estate","Residential REITs"
ES,"Eversource Energy",Utilities,Multi-Utilities
ESS,"Essex Property Trust","Real Estate","Residential REITs"
ETN,"Eaton Corporation plc",Industrials,"Electrical Components & Equipment"
ETR,"Entergy Corp.",Utilities,"Electric Utilities"
ETSY,"Etsy Inc.","Consumer Discretionary","Internet & Direct Marketing Retail"
EVRG,"Evergy Inc.",Utilities,"Electric Utilities"
EW,"Edwards Lifesciences","Health Care","Health Care Equipment"
EXC,"Exelon Corp.",Utilities,"Electric Utilities"
EXPD,"Expeditors Intl",Industrials,"Air Freight & Logistics"
EXPE,"Expedia Group Inc.","Consumer Discretionary","Internet & Direct Marketing Retail"
EXR,"Extended Stay America","Real Estate","Specialized REITs"
F,"Ford Motor Company","Consumer Discretionary","Automobile Manufacturers"
FANG,"Diamondback Energy",Energy,"Oil & Gas Exploration & Production"
FAST,"Fastenal Company",Industrials,"Building Products"
FB,"Facebook Inc.","Communication Services","Interactive Media & Services"
FBHS,"Fortune Brands Home",Industrials,"Building Products"
FCX,"Freeport-McMoRan Inc.",Materials,Copper
FDX,"FedEx Corp.",Industrials,"Air Freight & Logistics"
FE,"FirstEnergy Corp.",Utilities,"Electric Utilities"
FFIV,"F5 Networks Inc.","Information Technology","Communications Equipment"
FIS,"Fidelity National Info","Information Technology","Data Processing & Services"
FISV,"Fiserv Inc.","Information Technology","Data Processing & Services"
FITB,"Fifth Third Bancorp",Financials,"Regional Banks"
FLT,"FleetCor Technologies","Information Technology","Data Processing & Services"
FMC,"FMC Corporation",Materials,"Fertilizers & Agricultural Chemicals"
FOXA,"Fox Corp. Class A","Communication Services","Movies & Entertainment"
FRC,"First Republic Bank",Financials,"Regional Banks"
FRT,"Federal Realty Investment","Real Estate","Retail REITs"
FTNT,"Fortinet Inc.","Information Technology","Systems Software"
FTV,"Fortive Corp.",Industrials,"Industrial Machinery"
GD,"General Dynamics Corp.",Industrials,"Aerospace & Defense"
GE,"General Electric Co.",Industrials,"Industrial Conglomerates"
GILD,"Gilead Sciences Inc.","Health Care",Biotechnology
GIS,"General Mills Inc.","Consumer Staples","Packaged Foods & Meats"
GLW,"Corning Inc.","Information Technology","Electronic Components"
GM,"General Motors Co.","Consumer Discretionary","Automobile Manufacturers"
GOOG,"Alphabet Inc. Class C","Communication Services","Interactive Media & Services"
GOOGL,"Alphabet Inc. Class A","Communication Services","Interactive Media & Services"
GPC,"Genuine Parts Company","Consumer Discretionary",Distributors
GPN,"Global Payments Inc.","Information Technology","Data Processing & Services"
GPS,"Gap Inc.","Consumer Discretionary","Apparel Retail"
GRMN,"Garmin Ltd.","Consumer Discretionary","Leisure Products"
GS,"Goldman Sachs Group",Financials,"Investment Banking & Brokerage"
GWW,"Grainger W.W. Inc.",Industrials,"Industrial Machinery"
HAL,"Halliburton Company",Energy,"Oil & Gas Equipment & Services"
HAS,"Hasbro Inc.","Consumer Discretionary","Leisure Products"
HBAN,"Huntington Bancshares",Financials,"Regional Banks"
HBI,"Hanesbrands Inc.","Consumer Discretionary","Apparel Accessories"
HCA,"HCA Healthcare Inc.","Health Care","Health Care Facilities"
HD,"Home Depot Inc.","Consumer Discretionary","Home Improvement Retail"
HES,"Hess Corporation",Energy,"Integrated Oil & Gas"
HFC,"HollyFrontier Corp.",Energy,"Oil & Gas Refining & Marketing"
HII,"Huntington Ingalls",Industrials,"Aerospace & Defense"
HLT,"Hilton Worldwide Holdings","Consumer Discretionary","Hotels Resorts & Cruise Lines"
HOLX,"Hologic Inc.","Health Care","Health Care Equipment"
HON,"Honeywell International",Industrials,"Industrial Conglomerates"
HPE,"Hewlett Packard Enterprise","Information Technology","Technology Hardware"
HPQ,"HP Inc.","Information Technology","Technology Hardware"
HRL,"Hormel Foods Corp.","Consumer Staples","Packaged Foods & Meats"
HSIC,"Henry Schein Inc.","Health Care","Health Care Distributors"
HST,"Host Hotels & Resorts","Real Estate","Hotel & Resort REITs"
HSY,"The Hershey Company","Consumer Staples","Packaged Foods & Meats"
HUM,"Humana Inc.","Health Care","Managed Health Care"
HWM,"Howmet Aerospace",Industrials,"Aerospace & Defense"
IBM,"International Business Machines","Information Technology","IT Consulting & Services"
ICE,"Intercontinental Exchange",Financials,"Financial Exchanges & Data"
IDXX,"IDEXX Laboratories","Health Care","Health Care Equipment"
IEX,"IDEX Corporation",Industrials,"Industrial Machinery"
IFF,"Intl Flavors & Fragrances",Materials,"Specialty Chemicals"
ILMN,"Illumina Inc.","Health Care","Life Sciences Tools & Services"
INCY,"Incyte Corporation","Health Care",Biotechnology
INFO,"IHS Markit Ltd.",Industrials,"Research & Consulting Services"
INTC,"Intel Corporation","Information Technology",Semiconductors
INTU,"Intuit Inc.","Information Technology","Application Software"
IP,"International Paper Co.",Materials,"Paper & Plastic Packaging"
IPG,"Interpublic Group","Communication Services",Advertising
IPGP,"IPG Photonics Corp.","Information Technology","Electronic Components"
IQV,"IQVIA Holdings Inc.","Health Care","Life Sciences Tools & Services"
IR,"Ingersoll Rand Inc.",Industrials,"Industrial Machinery"
IRM,"Iron Mountain Inc.","Real Estate","Specialized REITs"
ISRG,"Intuitive Surgical Inc.","Health Care","Health Care Equipment"
IT,"Gartner Inc.","Information Technology","IT Consulting & Services"
ITW,"Illinois Tool Works",Industrials,"Industrial Machinery"
IVZ,"Invesco Ltd.",Financials,"Asset Management"
J,"Jacobs Engineering Group",Industrials,"Research & Consulting Services"
JBHT,"J.B. Hunt Transport",Industrials,Trucking
JCI,"Johnson Controls Intl",Industrials,"Building Products"
JKHY,"Jack Henry & Associates","Information Technology","Data Processing & Services"
JNJ,"Johnson & Johnson","Health Care",Pharmaceuticals
JNPR,"Juniper Networks Inc.","Information Technology","Communications Equipment"
JPM,"JPMorgan Chase & Co.",Financials,"Diversified Banks"
K,"Kellogg Company","Consumer Staples","Packaged Foods & Meats"
KEY,KeyCorp,Financials,"Regional Banks"
KEYS,"Keysight Technologies","Information Technology","Electronic Equipment"
KHC,"Kraft Heinz Company","Consumer Staples","Packaged Foods & Meats"
KIM,"Kimco Realty Corp.","Real Estate","Retail REITs"
KLAC,"KLA Corporation","Information Technology","Semiconductor Equipment"
KMB,"Kimberly-Clark Corp.","Consumer Staples","Household Products"
KMI,"Kinder Morgan Inc.",Energy,"Oil & Gas Storage & Transportation"
KMX,"CarMax Inc.","Consumer Discretionary","Specialty Stores"
KO,"Coca-Cola Company","Consumer Staples","Soft Drinks"
KR,"Kroger Co.","Consumer Staples","Food Retail"
KSU,"Kansas City Southern",Industrials,Railroads
L,"Loews Corporation",Financials,"Multi-line Insurance"
LDOS,"Leidos Holdings Inc.",Industrials,"Aerospace & Defense"
LEG,"Leggett & Platt Inc.","Consumer Discretionary","Home Furnishings"
LEN,"Lennar Corporation","Consumer Discretionary",Homebuilding
LH,"Laboratory Corp.","Health Care","Health Care Services"
LHX,"L3Harris Technologies",Industrials,"Aerospace & Defense"
LIN,"Linde plc",Materials,"Industrial Gases"
LKQ,"LKQ Corporation","Consumer Discretionary",Distributors
LMT,"Lockheed Martin Corp.",Industrials,"Aerospace & Defense"
LNC,"Lincoln National Corp.",Financials,"Life & Health Insurance"
LNT,"Alliant Energy Corp",Utilities,"Electric Utilities"
LOW,"Lowe's Companies Inc.","Consumer Discretionary","Home Improvement Retail"
LRCX,"Lam Research Corp.","Information Technology","Semiconductor Equipment"
LUMN,"Lumen Technologies","Communication Services","Integrated Telecommunication Services"
LUV,"Southwest Airlines Co.",Industrials,Airlines
LVS,"Las Vegas Sands Corp.","Consumer Discretionary","Casinos & Gaming"
LW,"Lamb Weston Holdings","Consumer Staples","Packaged Foods & Meats"
LYB,"LyondellBasell Industries",Materials,"Commodity Chemicals"
LYV,"Live Nation Entertainment","Communication Services","Movies & Entertainment"
MA,"Mastercard Incorporated","Information Technology","Data Processing & Services"
MAA,"Mid-America Apartment","Real Estate","Residential REITs"
MAR,"Marriott International","Consumer Discretionary","Hotels Resorts & Cruise Lines"
MAS,"Masco Corporation",Industrials,"Building Products"
MCD,"McDonald's Corporation","Consumer Discretionary",Restaurants
MCHP,"Microchip Technology","Information Technology",Semiconductors
MCK,"McKesson Corporation","Health Care","Health Care Distributors"
MCO,"Moody's Corporation",Financials,"Financial Exchanges & Data"
MDLZ,"Mondelez International","Consumer Staples","Packaged Foods & Meats"
MDT,"Medtronic plc","Health Care","Health Care Equipment"
MET,"MetLife Inc.",Financials,"Life & Health Insurance"
MGM,"MGM Resorts International","Consumer Discretionary","Casinos & Gaming"
MHK,"Mohawk Industries Inc.","Consumer Discretionary","Home Furnishings"
MKC,"McCormick & Company","Consumer Staples","Packaged Foods & Meats"
MKTX,"MarketAxess Holdings",Financials,"Financial Exchanges & Data"
MLM,"Martin Marietta Materials",Materials,"Construction Materials"
MMC,"Marsh & McLennan",Financials,"Insurance Brokers"
MMM,"3M Company",Industrials,"Industrial Conglomerates"
MNST,"Monster Beverage Corp.","Consumer Staples","Soft Drinks"
MO,"Altria Group Inc","Consumer Staples",Tobacco
MOS,"Mosaic Company",Materials,"Fertilizers & Agricultural Chemicals"
MPC,"Marathon Petroleum Corp.",Energy,"Oil & Gas Refining & Marketing"
MPWR,"Monolithic Power Systems","Information Technology",Semiconductors
MRK,"Merck & Co. Inc.","Health Care",Pharmaceuticals
MRO,"Marathon Oil Corp.",Energy,"Oil & Gas Exploration & Production"
MS,"Morgan Stanley",Financials,"Investment Banking & Brokerage"
MSCI,"MSCI Inc.",Financials,"Financial Exchanges & Data"
MSFT,"Microsoft Corporation","Information Technology","Systems Software"
MSI,"Motorola Solutions Inc.","Information Technology","Communications Equipment"
MTB,"M&T Bank Corp.",Financials,"Regional Banks"
MTD,"Mettler-Toledo Intl","Health Care","Life Sciences Tools & Services"
MU,"Micron Technology Inc.","Information Technology",Semiconductors
MXIM,"Maxim Integrated Products","Information Technology",Semiconductors
NDAQ,"Nasdaq Inc.",Financials,"Financial Exchanges & Data"
NEE,"NextEra Energy Inc.",Utilities,"Electric Utilities"
NEM,"Newmont Corporation",Materials,Gold
NFLX,"Netflix Inc.","Communication Services","Movies & Entertainment"
NI,"NiSource Inc.",Utilities,Multi-Utilities
NIKE,"NIKE Inc.","Consumer Discretionary",Footwear
NLSN,"Nielsen Holdings plc",Industrials,"Research & Consulting Services"
NOC,"Northrop Grumman Corp.",Industrials,"Aerospace & Defense"
NOW,"ServiceNow Inc.","Information Technology","Systems Software"
NRG,"NRG Energy Inc.",Utilities,"Independent Power Producers"
NSC,"Norfolk Southern Corp.",Industrials,Railroads
NTAP,"NetApp Inc.","Information Technology","Technology Hardware"
NTRS,"Northern Trust Corp.",Financials,"Asset Management"
NUE,"Nucor Corporation",Materials,Steel
NVDA,"NVIDIA Corporation","Information Technology",Semiconductors
NVR,"NVR Inc.","Consumer Discretionary",Homebuilding
NWL,"Newell Brands Inc.","Consumer Discretionary","Housewares & Specialties"
NWSA,"News Corp Class A","Communication Services",Publishing
NXPI,"NXP Semiconductors","Information Technology",Semiconductors
O,"Realty Income Corp.","Real Estate","Retail REITs"
ODFL,"Old Dominion Freight",Industrials,Trucking
OKE,"ONEOK Inc.",Energy,"Oil & Gas Storage & Transportation"
OMC,"Omnicom Group Inc.","Communication Services",Advertising
ORCL,"Oracle Corporation","Information Technology","Systems Software"
ORLY,"O'Reilly Automotive","Consumer Discretionary","Specialty Stores"
OTIS,"Otis Worldwide Corp.",Industrials,"Industrial Machinery"
OXY,"Occidental Petroleum",Energy,"Oil & Gas Exploration & Production"
PAYC,"Paycom Software Inc.","Information Technology","Application Software"
PAYX,"Paychex Inc.","Information Technology","Data Processing & Services"
PBCT,"People's United Financial",Financials,"Regional Banks"
PCAR,"PACCAR Inc.",Industrials,"Construction Machinery & Heavy Trucks"
PEAK,"Healthpeak Properties","Real Estate","Health Care REITs"
PEG,"Public Service Enterprise",Utilities,Multi-Utilities
PENN,"Penn National Gaming","Consumer Discretionary","Casinos & Gaming"
PEP,"PepsiCo Inc.","Consumer Staples","Soft Drinks"
PFE,"Pfizer Inc.","Health Care",Pharmaceuticals
PFG,"Principal Financial Group",Financials,"Life & Health Insurance"
PG,"Procter & Gamble Co.","Consumer Staples","Household Products"
PGR,"Progressive Corporation",Financials,"Property & Casualty Insurance"
PH,"Parker-Hannifin Corp.",Industrials,"Industrial Machinery"
PHM,"PulteGroup Inc.","Consumer Discretionary",Homebuilding
PKG,"Packaging Corp of America",Materials,"Paper & Plastic Packaging"
PKI,"PerkinElmer Inc.","Health Care","Life Sciences Tools & Services"
PLD,"Prologis Inc.","Real Estate","Industrial REITs"
PM,"Philip Morris International","Consumer Staples",Tobacco
PNC,"PNC Financial Services",Financials,"Regional Banks"
PNR,"Pentair plc",Industrials,"Industrial Machinery"
PNW,"Pinnacle West Capital",Utilities,"Electric Utilities"
POOL,"Pool Corporation","Consumer Discretionary",Distributors
PPG,"PPG Industries Inc.",Materials,"Specialty Chemicals"
PPL,"PPL Corporation",Utilities,"Electric Utilities"
PRGO,"Perrigo Company plc","Health Care",Pharmaceuticals
PRU,"Prudential Financial",Financials,"Life & Health Insurance"
PSA,"Public Storage","Real Estate","Specialized REITs"
PSX,"Phillips 66",Energy,"Oil & Gas Refining & Marketing"
PVH,"PVH Corp.","Consumer Discretionary","Apparel Accessories"
PWR,"Quanta Services Inc.",Industrials,"Construction & Engineering"
PXD,"Pioneer Natural Resources",Energy,"Oil & Gas Exploration & Production"
PYPL,"PayPal Holdings Inc.","Information Technology","Data Processing & Services"
QCOM,"QUALCOMM Incorporated","Information Technology",Semiconductors
QRVO,"Qorvo Inc.","Information Technology",Semiconductors
RCL,"Royal Caribbean Group","Consumer Discretionary","Hotels Resorts & Cruise Lines"
REG,"Regency Centers Corp.","Real Estate","Retail REITs"
REGN,"Regeneron Pharmaceuticals","Health Care",Biotechnology
RF,"Regions Financial Corp.",Financials,"Regional Banks"
RHI,"Robert Half International",Industrials,"Human Resource & Employment Services"
RJF,"Raymond James Financial",Financials,"Investment Banking & Brokerage"
RL,"Ralph Lauren Corp.","Consumer Discretionary","Apparel Accessories"
RMD,"ResMed Inc.","Health Care","Health Care Equipment"
ROK,"Rockwell Automation",Industrials,"Electrical Components & Equipment"
ROL,"Rollins Inc.",Industrials,"Environmental & Facilities Services"
ROP,"Roper Technologies",Industrials,"Industrial Machinery"
ROST,"Ross Stores Inc.","Consumer Discretionary","Apparel Retail"
RSG,"Republic Services Inc.",Industrials,"Environmental & Facilities Services"
RTX,"Raytheon Technologies",Industrials,"Aerospace & Defense"
SBAC,"SBA Communications","Real Estate","Specialized REITs"
SBUX,"Starbucks Corporation","Consumer Discretionary",Restaurants
SCHW,"Charles Schwab Corp.",Financials,"Investment Banking & Brokerage"
SEE,"Sealed Air Corporation",Materials,"Paper & Plastic Packaging"
SHW,"Sherwin-Williams Company",Materials,"Specialty Chemicals"
SIVB,"SVB Financial Group",Financials,"Regional Banks"
SJM,"J.M. Smucker Company","Consumer Staples","Packaged Foods & Meats"
SLB,"Schlumberger Limited",Energy,"Oil & Gas Equipment & Services"
SNA,"Snap-on Incorporated",Industrials,"Industrial Machinery"
SNPS,"Synopsys Inc.","Information Technology","Application Software"
SO,"Southern Company",Utilities,"Electric Utilities"
SPG,"Simon Property Group","Real Estate","Retail REITs"
SPGI,"S&P Global Inc.",Financials,"Financial Exchanges & Data"
SRE,"Sempra Energy",Utilities,Multi-Utilities
STE,"STERIS plc","Health Care","Health Care Equipment"
STT,"State Street Corporation",Financials,"Asset Management"
STX,"Seagate Technology","Information Technology","Technology Hardware"
STZ,"Constellation Brands","Consumer Staples","Distillers & Vintners"
SWK,"Stanley Black & Decker",Industrials,"Industrial Machinery"
SWKS,"Skyworks Solutions","Information Technology",Semiconductors
SYF,"Synchrony Financial",Financials,"Consumer Finance"
SYK,"Stryker Corporation","Health Care","Health Care Equipment"
SYY,"Sysco Corporation","Consumer Staples","Food Distributors"
T,"AT&T Inc.","Communication Services","Integrated Telecommunication Services"
TAP,"Molson Coors Beverage","Consumer Staples",Brewers
TDG,"TransDigm Group Inc.",Industrials,"Aerospace & Defense"
TDY,"Teledyne Technologies",Industrials,"Aerospace & Defense"
TEL,"TE Connectivity Ltd.","Information Technology","Electronic Components"
TER,"Teradyne Inc.","Information Technology","Semiconductor Equipment"
TFC,"Truist Financial Corp.",Financials,"Regional Banks"
TFX,"Teleflex Incorporated","Health Care","Health Care Equipment"
TGT,"Target Corporation","Consumer Discretionary","General Merchandise Stores"
TJX,"TJX Companies Inc.","Consumer Discretionary","Apparel Retail"
TMUS,"T-Mobile US Inc.","Communication Services","Wireless Telecommunication Services"
TRMB,"Trimble Inc.","Information Technology","Electronic Equipment"
TROW,"T. Rowe Price Group",Financials,"Asset Management"
TRV,"Travelers Companies",Financials,"Property & Casualty Insurance"
TSCO,"Tractor Supply Company","Consumer Discretionary","Specialty Stores"
TSLA,"Tesla Inc.","Consumer Discretionary","Automobile Manufacturers"
TSN,"Tyson Foods Inc.","Consumer Staples","Packaged Foods & Meats"
TT,"Trane Technologies",Industrials,"Industrial Machinery"
TTWO,"Take-Two Interactive","Communication Services","Interactive Home Entertainment"
TWTR,"Twitter Inc.","Communication Services","Interactive Media & Services"
TXN,"Texas Instruments","Information Technology",Semiconductors
TXT,"Textron Inc.",Industrials,"Aerospace & Defense"
TYL,"Tyler Technologies","Information Technology","Application Software"
UAA,"Under Armour Inc.","Consumer Discretionary","Apparel Accessories"
UAL,"United Airlines Holdings",Industrials,Airlines
UDR,"UDR Inc.","Real Estate","Residential REITs"
UGI,"UGI Corporation",Utilities,"Gas Utilities"
UHS,"Universal Health Services","Health Care","Health Care Facilities"
ULTA,"Ulta Beauty Inc.","Consumer Discretionary","Specialty Stores"
UNH,"UnitedHealth Group Inc.","Health Care","Managed Health Care"
UNP,"Union Pacific Corp.",Industrials,Railroads
UPS,"United Parcel Service",Industrials,"Air Freight & Logistics"
URI,"United Rentals Inc.",Industrials,"Trading Companies & Distributors"
USB,"U.S. Bancorp",Financials,"Diversified Banks"
V,"Visa Inc.","Information Technology","Data Processing & Services"
VFC,"V.F. Corporation","Consumer Discretionary","Apparel Accessories"
VIAC,"ViacomCBS Inc.","Communication Services","Movies & Entertainment"
